speaker,text
CL207,Put the needle on the record
Jamo,Welcome to wage cucking with Jamo
Andreas,All right guys
Andreas,"Um, welcome to yet another episode of wage cucking with Jamo"
Andreas,"Uh, today we have a cat, it appears that has joined us for the podcast, better known as CL"
Andreas,"CL, how you doing"
CL207,"Uh, doing very well"
CL207,"Yeah, I think I'm just generally pretty happy, happy cat"
CL207,"So yeah, always, always positive"
Andreas,"But before we get started, let me know maybe a little bit background of how you got into crypto and also like where the whole cat meme originated from"
Andreas,I'm curious about that
CL207,So I got in 2018
CL207,"Actually, it was kind of a because I was horny"
CL207,"There's this good this girl in my college was like, yo, pull up to the blockchain club"
CL207,"I was like, no, no fucking clue what the fuck that is"
CL207,"But you know, her, her thighs were crazy"
CL207,I just followed her to the blockchain club
CL207,She's like talking about stuff I have no idea about
CL207,She told me XRP was a scam
CL207,That's all she said
CL207,"So I was like, sure, you know, I'll give you all my cash"
CL207,Buy me some crypto
CL207,So I bought like two grand of Bitcoin
CL207,"Then in a month, it dropped from like six grand to like three grand"
CL207,"And I was like, incredible"
CL207,"Like I don't know why, but like I just kept buying"
CL207,So that's how I got in
CL207,"And then I realized that, you know, just holding Bitcoin is like"
CL207,"makes me poor, because I went to 13K, I only went from five grand net worth to, I don't know, 15 grand net worth"
CL207,"And I was like, yeah, this is not working out"
CL207,I need to start using a ton of leverage
CL207,So that kept going
CL207,So that was how it started
CL207,"The catalog is multi-layered, multi-dimensioned, much deeper"
CL207,"So when I was one, my mom took me to a fortune teller"
CL207,And the fortune teller was like
CL207,"Wow, he's going to be a great writer, which is very true"
CL207,My tweets are always bangers and hitting
CL207,"But he said something else, which is really worrisome for our bloodline"
CL207,"He's gonna be like doing all right, like pretty good, but there's like a massive issue, like there is evil behind him, like trying to get him"
CL207,"But there's a counter attack, like you can prevent this, right"
CL207,"And she's like, yo, of course I wanna prevent it"
CL207,"And he's like, he needs like a very cute nickname, then he will do really well"
CL207,"And then she was like, huh, all right"
CL207,So she started calling me cat in Chinese
Andreas,This is when you're one years old
CL207,So that's how it started
CL207,"So, um, and then like, you know, many, many, uh, years later, uh, and this is like, these two events are not even like related"
CL207,"Um, I didn't even know like, or I, like in my head, I didn't even know this background story, um, nor was aware like why she was calling me a cat, whatever bullshit"
CL207,"Um, and then"
CL207,"One day, a bunch of my friends were like, you know, this, this is like totally you"
CL207,"Like you should just beat, like beat this"
CL207,And it was like some cat profile picture
CL207,"And I was like, yeah"
CL207,I'm down there
CL207,"You know, why not"
CL207,So I became a cat
CL207,"And then, um, over time, like, you know, COVID happened"
CL207,"I had to put on the hazmat suit, you know, virtually, you know, virtual COVID could hit you hard"
CL207,So I got this hazmat suit
CL207,"I chose yellow and then, um, you know"
CL207,"And then one day I was like, wait, hold up"
CL207,"Like, why my, that same identity as like, well, my mom's calling me"
CL207,I had this like insane realization like maybe two years later
CL207,So I asked her and then she told me the fortune teller story
CL207,"I was like very mind blown that it like, it all bridged together"
CL207,"So I think that's a, that's a full door of the, yeah, the cat persona"
Andreas,Are we going to see like an evolution of the maybe get rid of the hazmat suit and add something else now that COVID is over or not really a thing anymore
CL207,"No, I think it's very unique, like easy to recognizable"
CL207,Yellow is like adorable color
CL207,I think it's very good
CL207,"So like at this point, I don't think I'll change it"
CL207,"And it's like, if you want to like"
CL207,take off my like hazmat suit
Andreas,"Uh, maybe if you're a hot girl potentially, but"
Andreas,"yeah, otherwise, it's like the hat stays on the, the suit stays on the suit"
Andreas,"So it sounds like you started with like, uh, you started with like a few thousand dollars, um, when you got into crypto and it seems like you, you ran it up"
Andreas,"Um, I'd say mostly trading, right"
CL207,"I was, um, yeah, pretty much"
CL207,"Yeah, I think not near 99% of my gains is like Bitcoin ETH just trading"
Andreas,"Do you have like a way you characterize your trading style or just like your, your general outlook when you approach trading"
CL207,"I mean, this is hard to explain, but like"
CL207,"Like there's always levels which I, well, at least to me, it's like relatively obvious"
CL207,"I watch people take positions and I'm like, and then you automatically in your head generate a mental liquidation profile of all these trades, right"
CL207,So it's like very simple
CL207,"Like if they're on the X20, it's 5% move, you know, it's X25, 4%"
CL207,X10 is very popular
CL207,So like 10% moves usually never happens
CL207,It always runs like few percent deeper just like from these liquidations
CL207,Or just generally stop losses being triggered at a pretty obvious level
CL207,"And then at least when I used to trade, I try to shove it a little bit more into that way so they get fucked a little bit harder"
CL207,"and then I sell into when they're getting fucked and then, yeah"
Andreas,"Yeah, I've always had an issue describing, so I used to trade quite a bit back in the day"
Andreas,I was pretty much weekly or monthly or whatever it was on the BitMEX leaderboard when BitMEX was a thing
Andreas,And then people would ask me what your trading style was
Andreas,It's hard to describe
Andreas,It's mostly just
Andreas,being in there and then trading and a lot of like trial and error
Andreas,"And then you like looking at certain things and like having a feel and figuring out like, you've seen this before and you've seen the situation before and you sort of know like the, the eventual outcome"
Andreas,"Um, but also, um, I think you mentioned that recently that like you, you don't trade nearly as much anymore"
Andreas,Is there a reason why
CL207,"Uh, a bit of everything"
CL207,I think I
CL207,For a while I really really loved knowing where price was going
CL207,It was like this strong curiosity and like urge to
CL207,"just want to be correct, just want to know why each moves are happening, and then predicting it, and then put a bit of money on all my views"
CL207,"And then over time, I'm not sure why, it just doesn't hit the same"
CL207,"And on top of that, there's one day, I think almost the very last day of December 2020"
CL207,"yeah, last day of the year"
CL207,"I was just like, you know"
CL207,"I had like an AVI bag, not too much"
CL207,I had an SNX bag
CL207,"There weren't like millions of dollars, but like, I just felt like the swing was so crazy"
CL207,I just kept going up
CL207,"I'm like, why am I still holding this shit"
CL207,"Like, or like, like all my trades are working and hitting like, I'm just going to take a break for a bit"
CL207,"And then once I took that break, I"
CL207,It was so mind blowing how I didn't realize how stressed I was
CL207,"I didn't realize it was like, you know, clouds above my head"
CL207,"Because I do it 24 seven, you know, when I sleep, I dream about it"
CL207,I had an ex I like when I fuck I'm actually thinking about the chart
CL207,um like there's there's like there's no nothing else in the universe other than like me like trying to outplay someone on like btc usd perps so it was like
CL207,just i like i don't know i just couldn't like redo that ever again just because like
CL207,yeah once once that stress and everything like lifted um i was just like
CL207,you know i was just happy to live like this um nothing's wrong
CL207,yes this is great um this is what
CL207,i guess originally fought for and
CL207,"I'm just going to, yeah, not go as hard"
Andreas,"Do you think it's more difficult to show profit as a professional trader now than it was say like in 2018 when you got in or like, like around 2020 bull market, like around those times"
CL207,That's also hard
CL207,I think it's around this
CL207,It's not too much harder
CL207,I think it's still very doable
CL207,"I don't really trade too much anymore, but I can still"
CL207,"like take a quick look and like, like sometimes I have a very strong bias and my hit rate at least mentally so far, like I've mental trades I'm taking and they're hitting pretty well"
CL207,"Um, so I don't know, I've ascended to a level"
CL207,"I'm just like, yeah"
CL207,I'm mentally taking profit here
CL207,"Like, Oh, that was a great trade"
CL207,"Like, yeah, yeah"
CL207,I still got this totally
Andreas,"It's like, it's like self validation, right"
CL207,"Like, if I made this trade, I would have been right"
CL207,"So yeah, just stuff like that"
CL207,So I definitely think yeah
CL207,"it's like the ETF coming in, it's not like completely a meme, at least in the moment, right"
CL207,"It's like, the flows are so strong, you can like just trend follow"
CL207,"I don't know, there's so much bullshit you can do still"
CL207,"A lot of it still trades similarly to 2019, 2020"
CL207,Maybe there's less percentages
CL207,"We hit a bunch of traders' margin levels, and then maybe we do 3% instead of 20%"
CL207,We used to bar it nonstop
CL207,It definitely matured in that sense
CL207,3% still so huge
Andreas,At least you can still show quite a bit of profit doing that
Andreas,"Yeah, yeah, yeah"
Andreas,Were there any like on your way up
Andreas,Were there any like Super Bowl memorable trades or positions you took that were that they don't have to be like huge or anything but that like you have like super high conviction on or you were pretty proud of in retrospect
CL207,"Yeah, I'm extremely proud of the July, August move in summer 2020, because I think I'm the only one on Twitter who's calling like, we're going to send so hard that Binance is going to break"
CL207,And it literally broke
CL207,It was the biggest candle
CL207,"I tweeted out, it was like, I give it like one third chance"
CL207,We're going to print the biggest move in Bitcoin history
CL207,And I think it was a move from like 28 to like 40K on Binance futures
CL207,um in like two minutes or something something crazy like that um so i'm very validated by that like just um just that that just means like i was correct about the market's positioning and
CL207,then like where the recreation levels were and like people just getting cascaded into like empty books so many of them in fact that blindness goes down like like these being correct like
CL207,and then i also said how like market will never short the short like bitcoin this hard ever again which we haven't seen so far
CL207,"So like that's like one thing I'm pretty proud of, I guess, but not really too many memorable trades"
CL207,I actually fucked up that trade super hard just because I was holding the position for a month and it was just ranging and doing nothing
CL207,"Um, but I still managed to catch a decent move"
CL207,"So yeah, if you're up here, I'm happy"
CL207,"So yeah, like, yeah"
Andreas,"Yeah, that makes sense"
Andreas,I sort of have the similar feelings about trading
Andreas,"I feel like I'm way less hungry, I guess now, in order to validate myself since I'd been in the space for so long and had reasonable success"
Andreas,"A lot of the times where I have bigger positions, I leave them open when going to sleep"
Andreas,But I'm not like you
Andreas,and I don't think about the the charts for having sex or anything
Andreas,But I don't anymore
Andreas,But I also don't have sex anymore
Andreas,"Yeah, like I would there would like be some nights where like I go to bed at midnight and like wake up like automatically wake up at like two or three am and log on to my computer and and check my position and stuff like that"
Andreas,Like I guess trading with size can be stressful at times even if like I feel like I have like reasonable like tolerance for the swings like I can I can remain non emotional
Andreas,"it when like making a lot of money and also losing a lot of money, it doesn't affect me emotionally either way"
Andreas,"But like, I've had like a pretty long history of, you know, like gambling, playing poker, stuff like that, where it's sort of ingrained into me"
Andreas,"But like, I see that trait in like, a lot of New York traders where they like, have like, positions with conviction or something like that, and then it goes wrong, or like, something happens, and then they get they get like, emotional and like"
Andreas,"you know, that they can't really think logically"
Andreas,"and they either add to the position or that they do something that they normally wouldn't do if they were like, you know, in their A game or in a state of mind where they're trading at like the best of their abilities"
Andreas,"So do you see any like, how do you describe like the best traders or the most optimal traders"
Andreas,Like what traits do they have that make them the best
CL207,"Yeah, basically what you said is I think amazing, like just absolutely ascended mentally, like nothing is gonna like you're never tilted, obviously, you're not going to revenge trade, obviously, like, at least that that to me is like very barbaric behavior, like if you can't like even mentally control your like your like discipline, like your mental state, if you can't control these, um"
CL207,I think that's pretty barbaric
CL207,"I don't know if that's insulting, but that's just how I view it"
CL207,"I don't think I've ever had too much problem with discipline, but that's definitely improved a lot as I traded over time"
CL207,"Yeah, I think mental is definitely the most important"
CL207,"Because if you can think clearly, then you're going to have good risk management"
CL207,"You're going to think how much you're going to put on where you're going to cut, where you're going to just eat the loss"
CL207,Just stuff like that
CL207,"Um, and just accepting your wrong is so critical too"
CL207,"Um, yeah, for sure"
CL207,"I respect people who can accept their wrong so much, just because I feel like the average dude in finance is like, always like the big Dick, like, I don't know, like Ferrari, like it's always like, you know, uh, very high T, um, not saying that it's low T, but I think it's more mentally ascended if you can like accept where you're wrong"
CL207,"So it's just like, yeah"
Andreas,"Yeah, I think I think that's very important like figuring out where you're wrong and like, more importantly, why what you did was wrong or why your thesis was incorrect or what would happen that like invalidated what you were doing, and then learning from that experience rather than, you know"
Andreas,"Like, you know, the meme where the guy's pointing the mirror like the market is wrong"
Andreas,I'm not wrong
Andreas,"Like I feel like I know it's a meme, but it describes like a lot of people in crypto, right"
Andreas,"Like they have like conviction over certain things and then like a lot of it becomes invalidated or like circumstances change and they're just like unwilling to accept their wrong and, you know, increase their conviction or just sort of stubborn about it"
Andreas,"And I think that's like a pretty big downfall of like a lot of people trading crypto is that they aren't like, willing to accept that like, you lose quite a bit and like, you know, like, when you lose, you either, you either like blame the market or blame others, or you just figure out like what went wrong and how you can adjust in the future to, you know, lose less"
Jamo,"Do you guys, both of you, do you always have a plan"
Jamo,"Like if this level breaks, if this news event happens or if the reaction isn't what I expected either on social media or on the chart"
Jamo,Do you plan that out
Jamo,Do you write it down or do you just like
Jamo,"Uh, or, or go full eyes at George Soros who just wakes up and is like, my back hurts"
Jamo,"I'm going to close this, uh, position for, for, for me specifically"
Andreas,"Um, I feel like I'm one to not really like, uh, I do have a plan like going in, but like the plan changes if like information changes"
Andreas,And then I think that's important
Andreas,"And then also, I'm one not to be tied to any of my positions"
Andreas,"If I think stuff is going wrong, I'll get out as soon as possible"
Andreas,"I'll eat the loss, and I won't really think twice about it"
Andreas,"Other than that, I think roughly going in, you have some sort of plan, some sort of levels that you're looking at"
Andreas,"I think crypto especially is one of those markets where, you know, there's just like so many factors that go in and you can't like, you can't go in like with an exact plan of, you know, like, my thesis is invalidated if like the price hits this level, but then like in a day, like"
Andreas,the whole landscape could be completely different
Andreas,"Like there could be new news or like new people like within the trade or like open interest goes up, stuff like that, that you sort of need to adjust your expectations in real time"
CL207,"As for like levels breaking and like reactions, I guess I do have some of these"
CL207,"Like let's say if I see the market is like super shorted, but like if we take a high and like"
CL207,It's like a very weak
CL207,like very few amounts of shorts coming out
CL207,"I might have to doubt my assumptions, stuff like that"
CL207,"But generally I also don't do any news at all just because, you know, I'm clicking on the like literal retail interface on like Binance or some share"
CL207,"I'm not gonna like, I'll compete these all goes or whatever, like popping off in like 200 millisecond, whatever, whatever, right"
CL207,"I don't ever, so I don't do any like information stuff"
CL207,"Yeah, there's been a few times where I'm just like literally trading and then CPI comes in"
CL207,"and I'm like, what the, I didn't know, which is like absolutely like retarded of me, I guess, but that happened a few times"
