speaker,text
Taiki Maeda,"What is up, guys"
Taiki Maeda,Welcome to episode seven of the Crypto Market Wizards podcast
Taiki Maeda,Today I have here with me the cat CL207
Taiki Maeda,How are you doing today
CL207,Very happy to be here
Taiki Maeda,What's like the origin behind the cat
Taiki Maeda,Like when did this become a thing
CL207,"Yeah, it's always been"
CL207,"I mean, there is like layers and layers of lore"
CL207,"I think the earliest lore is like, like my mom went to"
CL207,"I think, what's the word, fortune teller, right"
CL207,"And then she was like, yo, you know, read this"
CL207,"And then the fortune teller was like, yo, you know, he, oh, actually something funny was like, first of all, he's like, this person is going to be a great writer"
CL207,And I turned out to be a shit poster
CL207,"And then he was like, he might be successful"
CL207,"But there is a problem where people are going to go after him, right"
CL207,So that's the feds
CL207,"But the fortune teller was like, so to protect him from people going after him, you have to let him know to be humble and soft so people don't go after him"
CL207,"And then she's like, oh, cool"
CL207,"And then he's like, yeah, maybe you can give him a cuter nickname or something"
CL207,And then she just called me cat
CL207,the original lore
Taiki Maeda,"Got it, got it"
Taiki Maeda,What's it like being a pseudonymous character
Taiki Maeda,"I think you mentioned in some posts that you travel all the time, people know you as Kat, so it's harder to build real life experience or it's harder to build meaningful connections"
Taiki Maeda,What are the pros and cons of being this Kat online
CL207,I don't feel like there's many cons
CL207,It's mostly just pros
CL207,You're whatever you want and then
CL207,"Yeah, you can say whatever you want"
CL207,Like what are they going to do
CL207,"Like they're like, yo, who the fuck"
CL207,"Yeah, I don't know"
CL207,We can't sue him for fighting our back
CL207,"And then it's like, and then, yeah"
CL207,I don't know
CL207,"Maybe the only con so far is like, I feel like a bunch of smaller accounts get intimidated or like think I'm like a trillionaire, which I'm not even close to"
CL207,"And then like think I'm some like, uh, I don't know"
CL207,"They're just like, yo, uh, I don't know"
CL207,I don't know about meeting this guy
CL207,I know he's definitely safe and legit
CL207,"Maybe there is a bit of that, but overall, I think people generally are pretty happy to meet up"
CL207,I think the harder to build deeper connection part is me more so because I travel too much
CL207,I don't really stay at a place to make multi-year lifelong friends
CL207,I don't think I
CL207,even have friends that I see consistently throughout a whole year
Taiki Maeda,"I don't think you necessarily need an introduction, but how did you get into crypto trading"
Taiki Maeda,When and what do you do now
CL207,I got in 18 and then I thought I can just buy and hold and get rich
CL207,like Bitcoin from like 3K to 12K like in 2019
CL207,And then I was like still super forced
CL207,"I was like, you know, I need some leverage, you know, like just maybe like just some, and then yeah, just got into trading"
CL207,"And then it became much more of like a kind of like a video game endeavor where it's like, I was way more fascinated than by fascinated by why price moved and like"
CL207,figuring it out then thinking about like oh how much am I going to make on this trade I kind of just like had no idea until like sometimes like the trade kind of played out and I'm like
CL207,yeah that's how I started
CL207,and then I I shared a lot of ideas on Twitter um
CL207,and then I was very lucky to have like an actual fund pick me up for a few months where I trade a prop for them um but a traded discretionary uh
CL207,as a discretionary trader for them
CL207,"Uh, yeah, it was really like a bit of lucky just to like start tweeting randomly and then lucky to have this guy reach out"
CL207,"And like, yeah, he, he was telling his friends, yoga is like autistic kid on the internet"
CL207,That seems pretty good
CL207,Let's hire him
CL207,"Uh, and then I just got hired"
CL207,"Uh, this guy gave me a login"
CL207,I logged in and had like a hundred Bitcoin in it on the max
CL207,"Um, I did okay"
CL207,"And then I left, went solo"
Taiki Maeda,When did you go solo
CL207,"Uh, in, in 2020"
Taiki Maeda,Like was this before the COVID crash or was it after
CL207,"Uh, it was about a month after"
Taiki Maeda,"Like I think last time you met or we met, like you told me about like some crazy like experiences you had like in March of 2020"
Taiki Maeda,"Like, do you mind sharing to our audience, like what happened then and like how you recovered"
CL207,"Yeah, actually, I didn't lose too much because I was like, yo, if I can trade on this account, I don't need to all in my own personal 5k net worth into whatever bullshit, right"
CL207,So I didn't really trade it
CL207,I just had some dust on FTX and Binance back then
CL207,"But the fund I was at was very into, actually, I'm not sure how"
CL207,"I'm allowed to say, because I haven't signed paperwork at the fund"
CL207,"But you're a cat, right"
CL207,But you're a cat
CL207,so maybe I can
CL207,"OK, well, the fund was very interested into moving the price in favor of their position, obviously"
CL207,So we did a lot of bullshit
CL207,"Sometimes when Binance went down, we were like, can we shove Coinbase spot, say, market buy one clip"
CL207,Can we just send the share 10% or not
CL207,It's really so degenerate
CL207,"Shove market, see impact"
CL207,"Shove in different menus, see impact"
CL207,"If we're leading the price on this venue, which other venue gets arped up first"
CL207,"It was very degenerate, but it's not quantitative because we don't have computational modeling of if we pump Coinbase versus pumping on Bitcoin on Binance, which"
CL207,"which one pumps harder, like, like we kind of have a sense of finance have way deeper liquidity or like we also have shoved on OKX by quality features"
CL207,Like these were the biggest products by that back then
CL207,And then OKX was like a great platform to
CL207,a shelf price back then because Huobi used to also be big and Huobi OKX and Binance was like very well arbed against each other
CL207,"And then Coinbase Kraken was way more segregated because I feel like the people that are between Asia and China and US, they're uncertain of the stable price of Tether"
CL207,"So sometimes, even if it's like"
CL207,tether is like 0.99
CL207,"That's like a massive difference on like if you can rbic one or not, right"
