Index	Content
1	CL207 Crypto Journey - YouTube. •
2	NaN / NaN. •
3	NaN / NaN. Back
4	PH. Skip navigation
5	Search. Search
6	Search with your voice. Sign in
7	PH. CL207 Crypto Journey
8	Search. Watch later
9	Share. Copy link
10	Info. Shopping
11	Tap to unmute. 2x
12	If playback doesn't begin shortly, try restarting your device.. •
13	You're signed out. Videos you watch may be added to the TV's watch history and influence TV recommendations. To avoid this, cancel and sign in to YouTube on your computer.
14	Cancel. Confirm
15	Up next. Live
16	Upcoming. Cancel
17	Play Now. Share
18	Include playlist. An error occurred while retrieving sharing information. Please try again later.
19	/. •
20	Watch full video. Live
21	•. Origin Story of Cat
22	•. Scroll for details
23	CL207 Crypto Journey. Taiki Maeda
24	Taiki Maeda. 100K subscribers
25	<__slot-el>. Subscribe
26	<__slot-el>. Subscribed
27	425. Share
28	15,575 views. Nov 26, 2023
29	Crypto Market Wizards. 15,575 views • Nov 26, 2023 • Crypto Market Wizards
30	Show less. Episode 7 of Crypto Market Wizards, a new interview series focused on crypto traders in the trenches of the liquid markets. Today we have CL207 talking about his crypto journey and what it's like being a pseudonymous cat. He also shares some of his favorite memories from the last cycle and how he tries to be a "happiness maxi." CL is the most humble cat I've ever met!
31	. Crypto Market Wizards is an ad-free and sponsor-free podcast.
32	. / cl207
33	/ hfaresearch. / cryptomarketwiz
34	/ taikimaeda2. My mission is to create high-quality, digestible (ad-free) content that helps separate signal from noise for DeFi/NFT enthusiasts. I do not run YouTube ads, participate in seed investments, nor do paid promotions. Not Financial Advice.
35	. Origin Story of Cat
36	CL's Crypto Journey. Memorable Trades
37	Thoughts on Current Cycle. Viewing Crypto as a Game
38	Yield Farming & Thoughts on BLAST. "Fundamentals" in Crypto
39	CL's Trading Style. Thoughts on DeFi
40	Other Sectors like RWAs. Role of Influencers in Crypto
41	Thoughts on Friend.Tech. How to Utilize Crypto Twitter
42	CL's Trading Style. Common Traits of Successful Traders
43	Biggest Misconceptions about Crypto. CL's Relationship with Unisocks
